Numéro de l'élément	Groupe	Nom scientifique	Nom commun (a completer)	Statut provincial
Amphibiens	3	Desmognathus fuscus	salamandre sombre du Nord	Susceptible
Amphibiens	4	Desmognathus ochrophaeus pop. 2	salamandre sombre des montagnes, pop. des Appalaches	Menacée
Amphibiens	17067	Gyrinophilus porphyriticus pop. 2	salamandre pourpre, pop. des Adirondacks et des Appalaches	Vulnérable
Amphibiens	7	Hemidactylium scutatum	salamandre à quatre orteils	Susceptible
Amphibiens	18	Lithobates palustris	grenouille des marais	Susceptible
Amphibiens	15	Pseudacris maculata	rainette faux-grillon boréale	Susceptible
Amphibiens	13	Pseudacris triseriata	rainette faux-grillon de l'Ouest	Menacée
Bryophytes	1626	Acaulon muticum var. muticum	acaulon mutique	Susceptible
Bryophytes	1628	Aloina brevirostris	aloina à bec court	Susceptible
Bryophytes	1637	Andreaea crassinervia	lanterne à nervure épaisse	Susceptible
Bryophytes	1638	Andreaea nivalis	lanterne des neiges	Susceptible
Bryophytes	17050	Aneura maxima	grand aneura	Susceptible
Bryophytes	1405	Anthoceros agrestis	anthocérote des champs	Susceptible
Bryophytes	1649	Aongstroemia longipes	branchette dressée	Susceptible
Bryophytes	1568	Apopellia endiviifolia	pellie ramifiée	Susceptible
Bryophytes	1654	Arctoa anderssonii	faux-dicrane arctique	Susceptible
Bryophytes	1417	Asterella tenella	astérelle délicate	Susceptible
Bryophytes	1663	Aulacomnium androgynum	petite aulacomnie	Susceptible
Bryophytes	17121	Biantheridion undulifolium	sylphide ondulée	Susceptible
Bryophytes	1698	Brachythecium glaciale	buissonnette des neiges	Susceptible
Bryophytes	1684	Brachythecium latifolium	buissonnette à feuilles larges	Susceptible
Bryophytes	1700	Bruchia flexuosa	bruchie flexueuse	Susceptible
Bryophytes	15045	Bryum demaretianum	bryum des champs	Susceptible
Bryophytes	17109	Bryum elegans	bryum élégant	Susceptible
Bryophytes	15071	Bryum gemmiparum	bryum gemmipare	Susceptible
Bryophytes	1713	Bryum knowltonii	bryum nordique	Susceptible
Bryophytes	1715	Bryum longisetum	bryum à soie longue	Susceptible
Bryophytes	15266	Bryum marratii	bryum furtif	Susceptible
Bryophytes	15072	Bryum rubens	bryum à tubercules rouges	Susceptible
Bryophytes	1739	Bryum warneum	bryum marin	Susceptible
Bryophytes	17112	Buxbaumia piperi	gnome mat	Susceptible
Bryophytes	16552	Campylophyllum sommerfeltii	campylie ambiguë	Susceptible
Bryophytes	1761	Campylopus schimperi	torpied arctique	Susceptible
Bryophytes	6829	Campylostelium saxicola	servan des rochers	Susceptible
Bryophytes	17113	Cephaloziella rubella var. sullivantii	céphalozielle bois-pourri	Susceptible
Bryophytes	15348	Cephaloziella uncinata	céphalozielle à crochets	Susceptible
Bryophytes	1764	Ceratodon heterophyllus	cératodon varié	Susceptible
Bryophytes	1765	Cinclidium latifolium	mnie à feuilles larges	Susceptible
